li	اللي
l-	ال+
u	و+
il-	ال+
ta'	تاع
tal-	تاع ال+
ma	ما
kien	كان
f'	في
fil-	في ال+
biex	باش
minn	من
fuq	فوق
qed	قد
b'	ب+
mill-	من ال+
dan	دان
għall-	على ال+
xi	شي
se	س+
it-	ال+
kienet	كانت
għal	على
is-	ال+
fl-	في ال+
jekk	ياك
din	دين
kif	كيف
hemm	هم
jew	يو
meta	متى
lill-	لل+
imma	اما
x'	شي
hu	هو
lil	ل+
kienu	كانوا
għax	عاش
dak	داك
dwar	دوار
bil-	بال+
id-	ال+
kemm	كم
mhux	ماهوش
ma'	مع
fejn	فين
t-	ال+
tiegħu	تاعه
min	من
dawn	دون
kull	كل
wara	ورا
s-	ال+
hi	هي
m'	ما
ir-	ال+
in-	ال+
iżda	اصدق
jien	يان
huma	هما
ftit	فتيت
ewwel	أول
tas-	تاع ال+
tkun	تكون
mal-	من ال+
kollha	كلها
jkun	يكون
kellu	كان له
biss	بس
waħda	واحدة
kollox	كلش
lejn	لين
ħadd	حد
għandu	عنده
xejn	شين
fis-	في ال+
dawk	دوك
ħafna	حفنة
ikun	يكون
kont	كنت
bl-	بال+
dik	ديك
fi	في
bejn	بين
d-	ال+
ukoll	اكل
tad-	تاع ال+
n-	ال+
tagħha	تاعها
huwa	هو
tagħhom	تاعهم
wkoll	وكل
wieħed	واحد
tat-	تاع ال+
fit-	في ال+
ix-	ال+
bħala	بحالة
bi	ب+
kienx	كانش
bħal	بحال
'l	لل
r-	ال+
taħt	تحت
kulħadd	كل حد
qabel	قبل
żewġ	زوج
iż-	ال+
waqt	وقت
tiegħi	تاعي
fid-	في ال+
hija	هي
anke	انكي
tagħna	تاعنا
qegħdin	قاعدين
aħna	احنا
lanqas	لانقص
kollu	كله
kellha	كان لها
x-	ال+
għandna	عندنا
kieku	كيكو
bla	بلا
kontra	كونترا
matul	مثل
għaliex	علاش
jkunu	يكونوا
għandhom	عندهم
billi	باللي
tliet	ثلاث
sa	س+
għas-	على ال+
miegħu	معه
tar-	تاع ال+
tax-	تاع ال+
tnejn	اثنين
mingħajr	من غير
nofs	نفص
tieni	ثاني
għandha	عندها
għandi	عندي
tan-	تاع ال+
le	لي
minħabba	من حبة
sal-	سال+
hawn	هون
iva	ايوا
mis-	من ال+
mit-	من ال+
int	انت
ebda	ابدا
'il	لل+
fih	فيه
liema	لاما
ilu	اله
fir-	في ال+
mid-	من ال+
min-	من ال+
fiha	فيها
minnhom	منهم
għadu	عنده
għalkemm	على كم 
milli	من اللي
sabiex	سباش
t'	تاع
għalih	عليه
kellhom	كان لهم
sakemm	سكم
quddiem	قدام
bis-	بال+
għat-	على ال+
kelli	كان لي
qisu	قيسه
ċ-	ال+
ż-	ال+
konna	كنا
skont	سكنت
ikunu	يكونوا
ġej	جاي
anki	انكي
mela	مالا
nkunu	نكونوا
qiegħed	قاعد
fost	فوسط
ġo	جوا
stess	ستس
hemmx	همش
għoxrin	عشرين
ħdejn	حدين
magħha	معها
iċ-	ال+
mingħand	من عند 
fix-	في ال+
xulxin	ال+
donnu	ظنه
għad	عنَد
għandek	عندك
ħaddieħor	حد آخر
jiena	يانا
minkejja	من نكاية
bid-	بال+
għalfejn	على فين
jkollna	يكون لنا
malli	من اللي
taż-	تاع ال+
fuqu	فوقو
dal-	دال+
ruħu	تاع ال+
għadha	عنَدها
però	بيرو
tiegħek	تاعك
kinitx	كانتش
lis-	لل+
lilu	له
għand	عند
minnha	منها
ħalli	خلي
la	لا
għaddej	عادي
ħlief	خلاف
madwar	مدوار
bir-	بال+
fin-	في ال+
għar-	على ال+
mat-	من ال+
magħhom	معهم
qiegħda	قاعدة
inhu	انهو
bħalma	بحال ما
erba'	اربع
s'	س+
għad-	على ال+
mix-	من ال+
biha	بيها
fihom	فيهم
inti	انتي
ħa	ح+
kinux	كانوش
sitt	ست
daqs	دقس
mir-	من ال+
filwaqt	في الوقت
ħames	خمس
għal-	على ال+
mas-	من ال+
fosthom	فوسطهم
minnu	منه
quddiemu	قدامه
kemm-il	كمل
hux	هوش
iniex	اناش
mhijiex	ماهياش
donnhom	ظنهم
għadhom	عنَدهُم
kontx	كنتش
lili	لي
tielet	ثالث
barra	برا
fiż-	في ال+
bih	بيه
fuqha	فوقها
għaliha	عليها
dil-	دال+
kulma	كلما
għandux	عندهوش
ikollu	يكون له
jkollu	يكون له
bħallikieku	بحال اللي كيكو
ladarba	لضربة
pereżempju	برزمبيو
nkun	نكون
lin-	لل+
peress	برس
bihom	بيهم
huwiex	هواش
innifsu	نفسه
nnifsu	نفسه
ruħhom	روحهم
kellux	كان لهوش
qisha	قيسها
inkella	انكلا
inkunu	نكونوا
lit-	لل+
ħamsa	خمسة
ġejjin	جايين
qrib	قرب
skond	سكند
bħall-	بحال ال+
bit-	بال+
għax-	على ال+
bejniethom	بيناتهم
għalihom	عليهم
warajh	وراه
mhix	ماهيش
mhumiex	ماهماش
donnha	ظنها
għadna	عنَدنا
għandix	عندش
ikollna	يكون لنا
ilhom	الهم
jkollha	يكون لها
jkollhom	يكون لهم
xħin	شحين
jkunx	يكونش
ġejja	جاية
nieqsa	ناقصة
bħas-	بحال ال+
minna	منا
aħniex	احناش
daqskemm	دقسكم
taċ-	تاع ال+
hawnx	هونش
uħud	وحود
għaddejja	عادية
għaddejjin	عدايين
minbarra	من برا
minflok	من فلوك
fiċ-	في ال+
magħna	معنا
inhi	انهي
mhuwiex	ماهواش
għandniex	عندناش
ilha	الها
kellek	كان لك
kellna	كان لنا
saħansitra	سحنسترا
ser	سر
ħdax-il	احدعشل
wħud	وحود
sejjer	ساير
għan-	على ال+
mad-	من ال+
mil-	من ال+
bija	بي
għalija	علي
ħdejh	حديه
warajha	وراها
ilkoll	الكل
inhuma	انهم
ruħha	روحها
bosta	بسطة
ili	الي
anqas	انقص
inkun	نكون
elf	الف
seba'	سبع
sittin	ستين
tlieta	ثلاثة
żewġt	زوجة
ħiereġ	خارج
ħierġa	خارجة
mejjet	ميت
wieqaf	واقف
favur	فافور
ġewwa	جوا
in	ان
rigward	رجورد
għaż-	على ال+
ġol-	جوا ال+
mar-	من ال+
bejnietna	بيناتنا
bejnu	بينه
għalina	علينا
lejhom	ليهم
madwaru	مدواره
miegħi	معي
biżżejjed	بالزايد
ikollhom	يكون لهم
jkolli	يكون لي
qishom	قيسهم
mindu	منذ
talli	تاع اللي
iz-	ال+
insomma	انسوما
tkunx	تكونش
lilha	لها
dieħla	داخلة
miexi	ماشي
sejrin	سايرين
siekta	ساكتة
flok	فلوك
inkluż	انكلوز
tul	طول
biż-	بال+
dwarha	دوارها
fuqhom	فوقهم
lejh	ليه
lejha	ليها
warajhom	وراهم
lkoll	الكل
fiex	فاش
mnejn	منين
xiex	شاش
daqsxejn	دقسشين
għandhomx	عندهمش
ikollha	يكون لها
jismu	يسمه
kellhiex	كان لهاش
basta	بستا
taz-	تاع ال+
