.	.
,	رقم
li	الذي
l-	الجميع
ta'	يعطي
u	و
tal-	ل
il-	ال
’	'
)	)
(	((
ma	مع
"	فيلم
għal	ل
ta	ركلة
fil-	في
:	:
mill-	بواسطة
għall-	ل
fuq	زيادة
f'	أمو
minn	من
Il-	ال
kien	تكلفة
fl-	في
dan	هذا
-	-
jew	أو
biex	الذي
L-	الجميع
din	هذا
it-	ال
Malta	مالطا
kull	الجميع
Nru	لا
b'	هذه
/	/
is-	ال
tad-	بطاقة شعار
kif	كيف
id-	ال
dwar	عن
dritt	مستقيم
a	رشوة
qed	نكون
tas-	الذي
Qorti	محكمة
hemm	هناك
xi	بعض
2011	2011
ir-	محادثة
huwa	هو
tar-	ل
kienet	كان
–	-
offerta	يعرض
?	؟
lill-	ل
€	€
Artikolu	شرط
jekk	لو
1	1
hija	هي
m	م
meta	متى
;	؛
'	'
lil	ل
mhux	عدم
fis-	في
se	سوف
Gvern	حكومة
tat-	يعطي
dawn	هؤلاء
fejn	أين
huma	هم
tiegħu	له
dak	الذي
oħra	آخر
taħt	أسفل
wara	التالي
t-	ر
d-	د-
tagħha	إنه
offerti	المناقصات
ewwel	أولاً
hu	هو
2006	2006
bħala	مثل
mal-	مع
aktar	أكثر
għandu	يمسك
tkun	يكون
dokument	وثيقة
bil-	مع
ma'	مع
kienu	كان
sena	سنة
jitħallas	تم دفعه
s-	س
!	!
mod	وضع
‑	-
bejn	بين
għandhom	يملك
April	أبريل
istess	نفس
fi	داخل
ukoll	أيضاً
2	2
biss	فقط
jkun	يكون
Ministru	وزير
CT	CT
10	10
tagħhom	هُم
kawża	سبب
kollha	الجميع
C	ج
Dan	هذا
fit-	في
Triq	بوابة
għax	لأن
skont	تخفيض
b	ب
ikun	يكون
nhar	على امتداد
kopja	ينسخ
hawn	هنا
3	3
Regolament	أنظمة
bl-	مع
ħafna	كثير
Id-	ال
r-	شكر
min	أيا كان
sabiex	الذي
xogħol	عمل
każ	قضية
x'	ماذا
hekk	لذا
għandha	هو
jista'	يمكن
jistgħu	يمكن
qorti	محكمة
jiġi	يأتي
kemm	كم ثمن
fid-	في
“	"
tiġi	يأتي
Mejju	يمكن
f	F
the	ال
sentenza	جملة
Avviż	يلاحظ
”	و
m'	مع
qabel	يوافق
Kuntratti	انكماش
żmien	وقت
wkoll	أيضًا
dik	الذي
dawk	أولئك
wieħed	واحد
Marzu	يمشي
aħħar	نهاية
quddiem	مواجهة
Unjoni	اتحاد
hi	هي
ieħor	آخر
imma	فقط
illi	الذي
U	و
ftit	عدد قليل
in-	في
Din	هذا
Għandu	يملك
Is-	ال
magħluqin	مغلق
A	رشوة
jintlaqgħu	يتم قبولها
deċiżjoni	قرار
Dipartiment	قسم
sa	أعلى
12	12
10.00	10.00
bħal	يحب
fir-	في
jiġu	انهم يأتون
Ġunju	يونيو
29	29
waħda	كل
Provvista	إمداد
11	11
liġi	قانون
iktar	أكثر
persuna	شخص
of	ل
6	6
iżda	فقط
5	5
tax-	يعطي
Taqsima	تقسيم
darba	مرة واحدة
Jannar	يناير
kollox	كل شئ
Notice	يلاحظ
4	4
xejn	لا
Ġenerali	عام
jkunu	يكون
Lm	LM
Ġustizzja	عدالة
nies	الناس
talba	دعاء
issa	الآن
parti	قسم
nazzjonali	وطني
fatt	حقيقة
żewġ	زوج
kontra	ضد
Gazzetta	جريدة
Irid	يريد
p	ص
UE	الاتحاد الأوروبي
Onor	شبح
Kap	رداء
persuni	شخص
rigward	اعتبار
Fil-	داخل
Kunsill	مجلس
għas-	ل
lejn	باتجاه
snin	سنين
EU	الاتحاد الأوروبي
waqt	فوري
in	في
ebda	لا أحد
kellu	يملك
applikazzjoni	طلب
2012	2012
qal	يخبر
ġdid	جديد
Ma	مع
punt	نقطة
2018	2018
Għawdex	غوزو
mid-	من
dejjem	دائماً
Contract	عقد
20	20
numru	رقم
27	27
2009	2009
minħabba	لأن
Att	يمثل
Direttiva	التوجيه
nofsinhar	وقت الظهيرة
ġie	يأتي
ntbagħat	تم ارساله
artikolu	شرط
Membru	عضو
Sal-	أعلى
ikunu	يكون
Ewropea	أوروبي
ħin	وقت
flimkien	معاً
Saħħa	صحة
tieni	ثانية
mit-	من
Uffiċċju	مكتب
It-	ال
Servizzi	خدمات
n-	ن
Malti	المالطية
ħadd	لا أحد
Ħal	يترك
ġiet	يأتي
jgħid	يقول
iż-	ال
bi	مع
kienx	كان
ONOR	شبح
imsemmija	اسم الشيئ
barra	خارج
19	19
Kumitat	لجنة
Jekk	سواء
San	سان
26	26
mingħajr	بدون
billi	بواسطة
Ministeru	وزارة
għar-	ل
data	بيانات
17	17
ġew	لقد كان
ix-	*
sens	حاسة
pubbliku	عام
Sa	أعلى
Kummissjoni	عمولة
25	25
permezz	خلال
tista'	أنت
dokumenti	وثائق
Offerti	المناقصات
kont	فاتورة
għat-	الجميع
Ref	المرجع
qatt	أبداً
jien	يكون
Prim	برايم
Lulju	يوليو
għalhekk	لذلك
jagħmel	يفعل
informazzjoni	ذكاء
il	الدقة
9	9
kulħadd	الجميع
Ġimgħa	أسبوع
kundizzjonijiet	شروط
ġurnata	يوم
Frar	شهر فبراير
ħaġa	شيء
għad-	ل
jinkisbu	لقد تحققت
kuntratt	عقد
qegħdin	هم
vs	ضد
kwistjoni	موضوع
skond	وفق
kollu	كامل
7	7
matul	على امتداد
appellant	المستأنف
art	أرض
Valletta	مكنسة
mis-	ل
partijiet	القطع
Ir-	محادثة
lura	للخلف
24	24
Imma	فقط
16	16
għaliex	لأن
15	15
nuqqas	نقص
tagħmel	يصنع
*	*
tiegħi	مِلكِي
fih	يحتوي
anke	حتى
Illi	الذي
regoli	قواعد
oħrajn	آحرون
post	مكان
Maltin	المالطية
Istat	ولاية
jgħarraf	إخطار
bla	بدون
Diċembru	ديسمبر
]	]
2013	2013
30	30
pjanta	نبات
sal-	أعلى
21	21
rikorrenti	طالب وظيفة
Kien	تكلفة
F'	أمو
kompetenza	كفاءة
[	[
qiegħed	يضع
Ċivili	مدني
14	14
dawl	ضوء
ser	سوف
ġenerali	عام
P	ص
naħa	جناح
Awtorità	سلطة
Dawn	هؤلاء
2008	2008
to	ل
rikors	لجوء، ملاذ
L	حمأة
bżonn	يحتاج
kellha	يملك
ilu	منذ
B	ب
tajjeb	عدل
soċjetà	مجتمع
et	ET
Fl-	في
ammont	كمية
Lokali	محلي
rinviju	الإحالة
Settembru	سبتمبر
tan-	ل
2015	2015
8	8
pajjiż	دولة
jaf	يعرف
kbira	عظيم
partikolari	خاص
—	-
ġurisdizzjoni	الاختصاص القضائي
Meta	متى
18	18
domanda	يطلب
B'	هذه
dispożizzjoni	الاستعداد
liema	أيّ
drittijiet	حقوق
sar	يصبح
sitwazzjoni	الموقف
dispożizzjonijiet	أحكام
ħlas	تكلفة
Direttur	مخرج
milli	بدلاً
lanqas	ولا
13	13
and	و
tali	هذه
jsir	منتهي
saret	صنع
Tlieta	ثلاثة
Ewropew	أوروبي
aħjar	أحسن
diġà	بالفعل
differenti	متنوع
prinċipju	مبدأ
ġej	الأتى
tliet	ثلاثة
mt	جبل
servizzi	خدمات
proċeduri	الإجراءات
Erbgħa	أربعة
2007	2007
2016	2016
kieku	لو
President	رئيس
Limited	محدود
mir-	ل
materja	القيح
tagħna	ملكنا
soċjali	اجتماعي
Ara	يرى
22	22
servizz	خدمة
ġurisprudenza	الفقه
jidher	يظهر
proċedura	إجراء
Jien	يكون
Membri	أعضاء
%	٪
edukazzjoni	تعليم
Ltd	المحدودة
legali	قانوني
mogħtija	يسلم
jagħmlu	يصنع
poplu	الناس
'l	ل
tfal	طفل
ksur	كسر
diskriminazzjoni	تمييز
Partit	تبادل
proprjetà	ملكية
D	د
iċ-	ر
x-	x
favur	محاباة
beda	تبدأ
Luqa	لوقا
kuntest	سياق
pensjoni	مَعاش
Laburista	تَعَب
jiġux	لا تأتي
Furjana	فورانا
ittra	ملحوظة
minnhom	هم
T	امتحان
Borg	بورغ
…	...
l	حمأة
28	28
Belt	مدينة
Madankollu	لكن
31	31
Kamra	غرفة
bid-	مع
ġodda	جديد
dar	منزل
Korporazzjoni	مؤسَّسة
kwotazzjonijiet	يقتبس
PN	PN
tal	دور
sakemm	قيد الانتظار
bis-	مع
anqas	أقل
bażi	قاعدة
ġdida	جديد
taddokument	من الوثيقة
ħajja	حياة
50	50
Issa	الآن
2010	2010
ġejjin	التالي
ikkunsidrati	يعتبر
elezzjoni	انتخاب
ghal	ل
kliem	الإفراج المشروط
Kif	كيف
23	23
leġiżlazzjoni	تشريع
Huwa	هو
saħħa	صحة
isem	اسم
fond	عميق
kumpanija	شركة
qrati	المحاكم
fiha	يحتوي
għandna	لدينا
madwar	عن
Maltija	المالطية
diversi	عديد
affarijiet	أشياء
fost	ل
kera	إيجار
seħħ	تحضير
msemmija	اسم الشيئ
imsemmi	يذكر
applikabbli	ملائم
tnejn	اثنين
ismijiet	أسماء
Iżda	فقط
ħa	تصور
2000/78	2000/78
forsi	ربما
isir	منتهي
Regolamenti	أنظمة
soġġett	موضوع
kaxxa	سلة مهملات
kbir	كبير
jara	يرى
F	F
Stat	حالة
taċ-	ل
jagħti	يعطي
tgħid	ليقول
mil-	من
xahar	شهر
tagħrif	معلومة
effett	تأثير
aħna	نحن
eżami	امتحان
iżjed	أكثر
prinċipali	رئيسي
Tribunal	محكمة
preliminari	تمهيدي
kawżi	أسباب
gvern	حكومة
flus	مال
nannu	جد
Affarijiet	أشياء
gov	يذهب
2017	2017
qasam	يقسم
Ottubru	اكتوبر
għamel	يفعل
ħaddiema	عامل
Farrugia	معجب
Jista'	قد
meħtieġa	يطلب
Minn	من
jieħu	يأخذ
punti	نقاط
natura	طبيعة
anki	أيضًا
Kull	الجميع
ilma	ماء
uffiċċju	مكتب
illum	اليوم
appellanti	المستأنف
sentenzi	sistences
dikjarazzjoni	إعلان
Segretarju	سكرتير
sew	بخير
ara	يرى
Rurali	ريفي
Istati	تنص على
xhur	شهور
ssir	يصبح
interess	اهتمام
tard	متأخر
Min	أيا كان
la	حيّ
Diviżjoni	قسم
irid	يريد
tista	يستطيع
effetti	تأثير
formoli	الصيغ
Fond	عميق
Gonzi	جونزي
Artijiet	الأراضي
kompetenti	كفؤ
Bejgħ	أُوكَازيُون
taż-	ل
stess	ملك
www	www
c	ج
muri	يتم اظهار
pożizzjoni	موضع
trid	يريد
Enemalta	enemalta
programm	برنامج
xorta	نوع
termini	شروط
Ewwel	أولاً
regola	قاعدة
ħsieb	معتقد
drabi	مرات
għalih	له
min-	من
settur	قطاع
rilevanti	مناسب
filwaqt	يدفع
Dr	دكتور
le	لا
I	مجرم
rikonoxximent	إعتراف
ġimgħa	أسبوع
fatti	بيانات
Liġi	قانون
pendens	المعلقات
Bord	سبورة
website	موقع إلكتروني
Wara	ماضي
Novembru	شهر نوفمبر
toroq	طريق
Avukat	محامي
Court	محكمة
kinitx	كلب
ż-	يقضي
jista	يمكن
Tnejn	اثنين
mija	مائة
Muscat	مسقط
ċ-	ال
nofs	نصف
Sur	السيد
għan	غاية
qiegħda	غير موظف
tant	لذا
aħmar	أحمر
bir-	دقيق
preżenti	حاضر
applikazzjonijiet	التطبيقات
jibqa'	يبقى
Marsa	مارسا
relatati	متعلق ب
lis-	إلى
għal-	ل
Kwot	quot
inqas	أقل
huwiex	هو
lis	آل
importanti	مهم
de	دي
ġenituri	آباء
raġunijiet	سبب
tat	يعطي
jkollu	يملك
Bonnici	bonnices
żgur	يؤمن
politika	سياسة
X'	ماذا
isiru	مصنوع
for	ل
00	00
Ħamis	يوم الخميس
kumpens	تعويض
Illum	اليوم
Għalhekk	لذلك
mingħand	من
għeluq	إنهاء
raġuni	سبب
fin-	ينهي
trattament	علاج
Joseph	جوزيف
peress	هيس
inkwistjoni	في
impjieg	وظيفة
finijiet	المقاصد
minnha	هو
daqqa	ينفخ
għandux	لا أملك
jiġifieri	الذي
miegħu	معه
0	0
jistax	لا يمكن
minnu	من طرفه
Li	الذي
2201/2003	2201/2003
staqsa	سؤال
skura	مظلم
Edukazzjoni	تعليم
